"Story","Title","Result","Date","Stability","Duration (s)"
"consulta de pokemon","pokemon ditto ability","SUCCESS","2021-10-24T11:31:53.904833-05:00[America/Bogota]","0.0","6.08"
"consulta de pokemon","pokemon ditto ability fail","FAILURE","2021-10-24T11:32:00.0063167-05:00[America/Bogota]","0.0","0.79"
